location,date,tag,size.group,diameter,height,infest
FLE,3/9/2016,657,Mature,20.1,,Both
FLE,3/9/2016,604,Mature,20.5,,Both
FLE,3/9/2016,621,Mature,29.4,,Both
FLE,11/15/2016,657,Mature,19.9,,EHS
FLE,11/15/2016,621,Mature,29.2,,EHS
FLE,11/15/2016,652,Sapling,7,,EHS
FLE,11/15/2016,618,Sapling,7.5,,EHS
FLE,11/15/2016,647,Sapling,8.5,,Both
FLE,3/1/2017,657,Mature,20,,Both
FLE,3/1/2017,602,Mature,25.2,,EHS
FLE,3/1/2017,647,Sapling,8.3,269,EHS
FLE,10/31/2017,638,Sapling,1.8,279,EHS
FLE,10/31/2017,661,Sapling,2,312,EHS
FLE,10/31/2017,623,Sapling,5.5,610,EHS
FLE,10/31/2017,629,Sapling,7.8,665,EHS
FLE,11/2/2017,649,Sapling,1.8,238,EHS
FLE,11/7/2017,647,Sapling,8.5,1000,EHS
FLE,11/17/2017,657,Sapling,2.02,253,Both
FLE,11/17/2017,655,Sapling,5.13,400.1,EHS
FLE,2/27/2018,6083,Sapling,0.53,187,Both
FLE,2/27/2018,6081,Sapling,0.55,150,Both
FLE,2/27/2018,6091,Sapling,0.74,188,Both
FLE,2/27/2018,6059,Sapling,0.79,190,Both
FLE,2/27/2018,6075,Sapling,0.85,150,Both
FLE,2/27/2018,6065,Sapling,0.86,156,EHS
FLE,2/27/2018,6094,Sapling,0.86,182,EHS
FLE,2/27/2018,6062,Sapling,0.87,176,EHS
FLE,2/27/2018,6089,Sapling,0.91,153,EHS
FLE,2/27/2018,6086,Sapling,0.96,170,Both
FLE,2/27/2018,6093,Sapling,1.12,190,Both
FLE,2/27/2018,6098,Sapling,1.24,142,Both
FLE,2/27/2018,6082,Sapling,1.27,157,Both
FLE,2/27/2018,6071,Sapling,3.57,330,Both
FLE,2/27/2018,6080,Sapling,3.6,390,Both
FLE,2/27/2018,6072,Sapling,4.12,426,EHS
FLE,2/27/2018,6063,Seedling,0.26,32,Both
FLE,2/27/2018,6064,Seedling,0.58,36,Both
FLE,2/27/2018,6060,Seedling,0.63,39,Both
FLE,2/27/2018,6061,Seedling,0.68,67,EHS
FLE,2/27/2018,6067,Seedling,0.8,86.2,Both
FLE,2/27/2018,6099,Seedling,0.87,76,EHS
FLE,2/27/2018,6077,Seedling,0.96,71,Both
FLE,2/27/2018,6066,Seedling,1.03,115,Both
FLE,2/27/2018,6079,Seedling,1.21,132,Both
FLE,2/27/2018,6085,Seedling,1.25,119,Both
FLE,2/27/2018,6080,Seedling,1.27,95,Both
FLE,2/27/2018,6090,Seedling,1.3,109,Both
FLE,2/27/2018,6073,Seedling,1.32,122,Both
FLE,2/27/2018,6092,Seedling,1.34,67,Both
FLE,2/27/2018,6084,Seedling,1.39,110,Both
FLE,2/27/2018,6097,Seedling,1.55,92.1,Both
FLE,2/27/2018,6070,Seedling,1.57,117,EHS
FLE,2/27/2018,6095,Seedling,1.67,120,Both
FLE,2/28/2019,6002,Mature,15.6,,EHS
FLE,2/28/2019,632,Mature,18,,EHS
FLE,2/28/2019,657,Mature,19.8,,EHS
FLE,2/28/2019,6004,Mature,24.1,,EHS
FLE,2/28/2019,6003,Mature,35.39,,EHS
FLE,2/28/2019,6083,Sapling,1.09,,EHS
FLE,2/28/2019,6059,Sapling,1.5,,Both
FLE,2/28/2019,6098,Sapling,1.6,,EHS
FLE,2/28/2019,6094,Sapling,1.93,,Both
FLE,2/28/2019,6071,Sapling,3.59,,EHS
